z_value,k_value
907123697,199
840895721,178
859220852,173
742951540,191
765518776,222
714071174,222
787561261,204
779891321,191
842893077,173
148833191,230
911837982,230
959216725,137
868648314,217
816313288,248
705417874,178
970324439,137
3897491,217
703374060,222
826124401,248
135214162,186
172767291,230
878598361,199
917850162,199
832977759,248
897185006,230
882917602,230
791979388,222
945848801,243
916678329,230
840860390,204
874054001,248
120146938,191
836452484,186
985675676,243
815324043,217
941236377,243
142749827,168
22218552,191
801810831,217
811067928,235
780074569,204
136707398,248
128720812,178
146066242,173
825107907,217
719672512,178
125560466,204
804093428,248
922660312,243
903589376,137
884124376,230
886249937,217
795838765,204
27895315,168
714987031,191
910623090,217
959300582,243
792517915,173
823764380,217
927181824,137
878555045,199
141771080,173
757969759,222
906513012,186
893400673,168
855793472,217
754025131,222
865856048,168
773334978,222
780281664,235
854111872,199
988553077,168
742863701,222
872261659,230
135019432,204
696090921,209
130564297,235
757836727,178
822767135,235
895225971,199
892394797,168
864249104,217
978092997,137
893291966,168
850924230,199
832393454,248
808214734,235
797720714,204
889537227,230
138808411,248
847137920,173
808125193,204
756253019,204
963649883,168
819095292,222
782913627,248
738980790,222
123802766,191
976614058,137
696037706,209
800533010,217
808536844,235
163981243,243
762220804,178
4212912,199
887338300,230
780295826,204
737642000,222
867458495,168
884384056,199
883437082,199
902590621,137
180250460,137
848695052,186
880941630,243
751601426,222
912968772,168
24324628,230
678851274,178
784117258,173
868856391,173
785500410,191
947956486,199
839601388,217
760978305,222
808316726,217
749028982,235
683806863,178
886896830,230
828712425,248
160743605,137
868016813,168
711674668,222
978860874,137
793561300,173
124606650,191
925468558,243
140502537,248
127289117,178
131105869,222
757544210,191
126699615,191
846481253,186
165033058,137
791230839,173
145397227,248
774931562,191
848916804,248
24320811,168
675520705,209
877070732,137
682948459,209
813215365,248
848469990,204
147547934,191
749110891,209
705098704,209
792937318,191
691531573,209
737189307,209
759840869,204
134674741,204
720005940,178
826244702,217
889623607,243
852489891,204
802088204,186
722663069,209
127461085,178
867715759,230
801515605,217
743927345,235
948562171,199
24836599,168
149932428,137
880384402,230
829127130,248
813077862,204
135522206,186
926931599,243
730196339,191
938502819,230
763661328,191
742821806,191
839535117,217
696735824,178
134019052,248
743773268,235
905378612,168
786934850,191
763615308,173
824652219,217
865818740,168
833793800,248
130049697,235
794952941,173
905286146,137
137205720,186
728358344,209
849478038,204
890338582,199
691479303,209
879081979,199
895933498,137
678687361,178
840241741,178
802906477,217
995328339,186
916268627,230
930252372,168
980401262,217
115588689,209
874741242,217
130368708,222
851236726,248
880235511,230
793831884,222
754673359,209
808052985,204
888116511,243
766893805,222
821455372,186
919731634,199
132406741,173
825109494,217
765544144,173
770629200,235
803530066,235
883006813,191
807074328,191
142408153,248
948877654,243
871995057,199
880466459,168
982215425,217
871516472,186
792702468,235
827414805,248
821347297,186
810341972,173
827055375,248
890853601,191
931806433,243
774681851,191
902698915,230
166641353,137
725993680,209
23375323,230
675461359,209
882142917,168
20163645,209
871503170,186
717843390,178
749209996,178
829944764,186
807725773,248
895633884,137
730303497,209
155753385,243
743778133,222
783256350,204
925920163,243
879968322,137
893124442,186
968458698,168
738579462,191
685504307,178
792202123,217
965420416,137
757196809,178
150453410,230
915223224,243
748566465,209
903088495,137
743107097,235
708071736,209
854017230,173
848327486,204
731896570,191
787214440,222
933765068,137
955402722,243
867223332,230
751781685,178
836830167,248
799337940,191
901236138,230
889194707,168
844541457,199
873684069,248
118004559,222
769407902,222
901436677,243
783918009,204
830830478,186
881454751,199
837489792,186
740818742,235
737972959,209
942966778,199
896399720,137
23617158,173
687796300,209
147588177,230
159423184,168
834452064,186
985202462,243
743681178,235
842989474,248
890240635,137
800161489,235
684778915,178
891155832,186
796506060,217
796782963,204
853487884,186
854702073,199
3867248,217
878408758,248
854622600,217
893321344,168
3689914,235
744793378,209
822367592,217
682493621,178
959649053,230
742210187,222
123394125,178
737201816,222
710267891,222
982703092,243
868628430,248
892280805,168
157455029,243
879166644,168
751840496,235
140289314,217
822411224,186
121877429,178
872940132,186
826469104,186
878553548,248
133691545,217
711403139,209
799160075,191
756308718,178
995954623,186
867079678,217
903785403,137
696146557,209
823378460,186
944194004,137
970874763,248
763619407,222
801575871,217
983325176,217
952940700,168
879565376,137
798995132,191
926602102,243
138609596,248
770182472,235
827503985,217
870558710,217
748985022,235
744938438,222
762391835,191
135040075,186
832504931,186
706231,186
126775718,191
755049723,204
878713886,137
135368076,217
867015439,168
142176060,173
932579333,230
947828981,199
793907227,204
886208066,217
3944176,217
703068929,178
25761275,243
815810078,248
835077891,186
858324383,168
781479931,248
863347842,230
777473511,209
746666926,222
145759748,168
765283937,222
27541125,137
852603281,248
899212618,243
948474584,199
958259204,168
955158027,243
821484220,186
845683562,173
698772184,209
831320663,217
770368524,173
112913375,178
850814973,186
742915588,235
153316123,235
708653540,209
782993206,204
938994112,243
705956094,178
864810698,168
807571254,173
853784301,173
820465850,191
154881775,243
886623468,230
734173766,209
847340141,186
808545715,204
820670861,191
780619453,235
895209201,137
705184566,222
762910965,191
784469176,191
855111001,173
777629771,191
843731846,248
875616877,199
909120610,243
766573836,173
767270166,191
164790035,217
124000359,235
895274509,168
840203886,178
21709596,173
796675473,191
916511023,230
918756999,243
771358101,173
962464914,168
22520597,173
983106238,243
715843367,178
802347364,235
949231003,199
856360622,173
916710926,186
697929090,209
815125474,235
868677049,230
785843883,173
917531960,230
761404559,222
744976609,235
820533993,204
985677997,217
904950748,137
764916827,222
930811518,168
689319355,209
147174275,191
735435515,222
801397460,204
860010880,217
712801480,191
843978439,230
767999491,191
898857421,186
745549510,222
808738620,204
150916612,168
736188001,222
992234544,137
667358463,209
872635051,222
925331983,230
853928530,173
827871337,248
940038265,199
738498970,178
876806326,217
768214413,222
853653357,173
915498554,186
819880756,217
935447932,230
923663713,230
981020115,217
931295634,204
871661487,222
801604956,235
891812062,168
733997410,191
744798663,235
781993059,235
764104135,204
846281684,230
976839342,243
790078383,248
859022195,168
934232993,204
707441602,178
705521895,178
892093871,168
942571636,199
768601206,173
838767776,204
819427254,235
725167229,209
715796188,178
894544582,199
870384341,217
143410037,217
718632774,209
914495606,248
958096953,243
861173251,217
815608026,217
931239642,230
879517090,137
894268416,199
140012876,178
757442200,178
981624323,243
767154342,222
762838735,235
830159009,191
975373666,137
925151452,186
725415232,209
820917370,191
123378894,222
792000568,191
903893420,217
712289370,222
764592978,173
843153083,248
896848981,230
964240172,199
126958750,222
903472448,137
950633287,199
824383565,248
713180351,191
696863255,209
140751061,199
854454233,248
835547064,186
838392846,217
791799394,173
144754027,230
918944601,137
785853296,173
930400595,243
180390307,137
795256363,173
962169642,230
802673073,186
843061839,204
145146001,217
891572556,217
786305475,235
734416136,191
908341479,199
945167380,173
124775758,222
777482413,191
745433847,209
840286250,204
800943858,217
898346514,243
999299015,137
676210042,209
859981161,217
868297930,186
836091345,248
842384448,204
790906816,217
857647081,204
921100521,243
113729392,178
897954261,199
137667750,204
873038188,186
858963327,230
778767100,173
886597965,191
778378074,173
863129084,173
869195087,168
916970355,230
760261320,191
816080702,204
798613177,191
890973002,217
843543673,230
691437177,178
750560055,222
877622208,243
881509669,243
869095022,173
756590543,204
903373734,199
158024403,199
876802752,230
126470710,191
959335448,168
797706292,204
829708307,217
120888778,209
708704859,209
667364602,209
742199255,222
871492053,137
956335095,199
841520525,173
876121577,248
831654866,217
785953304,204
912558065,243
862103031,173
757033911,191
135955579,204
778445493,235
880224249,137
813170329,191
121516587,222
881430784,230
753355748,204
842704400,217
732544732,178
914826088,186
140096890,173
981728185,217
907640583,230
707776066,209
887301375,243
802526931,191
983758155,199
779444436,235
788729367,248
740691671,222
899797518,137
897073014,230
139165829,248
877241269,230
819392018,186
770813058,173
772015288,191
792634979,204
897559997,230
862108168,217
927550384,243
791692566,235
873627968,230
878006232,243
829004475,235
891577803,243
698745345,209
891457653,248
780048519,235
125311050,178
865704693,168
793069250,191
813098209,204
112727139,178
943770372,137
826421947,235
703273896,222
896987826,199
768928735,209
911452465,217
783788567,191
716014039,209
809310653,235
756581150,204
776282636,191
958362861,168
881701785,230
945914237,199
138215492,235
747235392,191
147038507,230
25540888,243
791065994,248
867154561,199
938435023,243
819409162,217
710592628,209
884633118,230
734460118,222
848079221,217
853540211,186
862263700,168
158416875,199
919757224,243
132788315,217
694547195,209
916625379,199
159607373,243
147841246,173
781228091,248
859441856,217
923968661,243
907874313,186
868729252,230
773729897,204
801730305,186
129876284,178
851704499,186
838548842,178
711039722,209
755930468,178
946376653,199
831045265,248
124934939,235
930005426,243
891932449,186
737898369,209
931320108,243
748497376,235
771302849,235
153818637,199
890244637,168
829124100,248
114109565,178
871418018,199
856666454,168
706390343,178
129054054,235
758117053,204
735363892,178
910627241,217
878627851,199
760222769,173
152173531,168
789890624,191
918953579,243
927546641,168
955968514,243
758458348,204
831456436,217
928692594,137
150874344,199
712426990,222
763990586,173
747436868,235
744446552,178
815112165,235
696152860,209
743884103,222
705182927,209
126653227,204
840687548,248
146215652,199
774537419,235
796862249,217
774311194,191
951315113,230
947830998,173
902822732,230
930283491,204
792691332,204
751162529,209
836476811,186
772235493,191
680451972,178
875807781,230
177681835,168
831405890,235
929018700,243
761109008,204
732011055,222
994334733,186
705509513,178
856000178,230
896283521,186
722343006,191
906219562,199
751858768,191
889658054,168
995318640,186
166934068,137
145237320,137
817420133,204
960781778,243
138056935,186
116770082,178
818190704,235
828171784,217
982373542,217
844896784,204
24538443,217
904115788,168
720814797,191
687840243,209
874155990,230
998469784,186
844396921,230
937215908,243
150962119,137
938465214,243
870509033,199
738154932,222
896991260,186
147998664,137
903236500,137
869250872,168
119770901,209
869191770,230
839610709,217
145694183,230
831774407,235
818113111,235
881453667,243
889371452,168
809359571,235
146613749,230
832926701,248
765307816,222
874432720,168
718701432,209
863256378,230
922528298,243
971211956,137
867653262,168
874802262,186
114644697,209
867580078,168
898361039,248
835675088,186
756637567,235
885194815,191
881603122,217
927247051,230
959016381,168
820435446,204
841882825,204
148132345,168
784750453,173
767994018,173
864557274,168
25680249,243
879378514,199
842668689,178
831411724,217
791654528,222
129803773,178
877297769,199
787679255,204
710406590,209
851112349,199
788428769,235
946458884,168
771829672,191
145031037,186
749913202,209
868449646,199
157706198,199
791871341,222
879577078,199
126801147,191
681495956,178
140828980,186
784646262,173
929897578,168
836236219,230
906567272,137
865524628,217
820291994,248
811562644,186
147926880,137
126175256,178
821488024,217
832746136,248
878343637,137
694918216,178
849253980,248
904371052,137
808111977,235
772823438,222
878655211,248
142737998,217
867518533,168
783641464,204
919763791,199
961322410,243
933841555,230
150181990,199
861322840,168
146862019,199
685435440,178
832887821,248
819976639,248
974925963,137
854829019,199
790698620,217
815815188,204
147079052,168
833890834,235
800346043,204
773470165,222
845899899,173
900270215,137
906047838,243
877844765,230
711928963,209
840186171,248
134070154,186
773734727,204
131990207,173
877344607,230
702531897,209
123768267,191
896528232,186
902384295,243
810823957,186
127677612,173
848062838,199
770812029,204
728382048,178
983635731,243
767346451,173
871766704,217
804124638,235
161868914,137
848284291,217
921605681,137
829404266,204
127108087,191
883646257,168
920898990,199
764272022,173
771968907,204
796136869,191
728285675,191
854503044,248
777720706,173
147239768,217
743311189,235
915677947,186
744966066,222
122416321,209
836504028,217
907229488,230
899287600,137
841267183,204
142493017,217
882227661,168
767000107,222
990754096,137
859179541,230
756861163,178
979290434,168
961106554,168
884841463,230
874043013,248
917037375,168
830914107,248
897485294,199
829891037,186
150622993,186
845481306,204
738953677,222
810552129,186
722762873,191
814966735,217
905414581,230
787256030,235
794295757,173
702127428,178
724152184,222
823926268,186
999476577,137
762843330,191
894443006,217
891365450,230
797801757,173
806466796,235
678886066,178
702947959,178
829847653,217
834574449,217
876967908,137
834733641,186
970144433,137
906610136,137
805258290,204
855674995,230
805535651,204
758752505,178
19795895,191
853508459,217
814680893,217
733060496,178
771820747,191
793164125,173
904323767,137
795893103,204
975398710,137
805117200,204
4286273,243
773354460,204
824171677,186
718038239,222
792240126,248
731470498,222
724659300,222
120099505,191
932155674,243
739105860,209
685540297,178
783239904,235
115293999,209
859900376,173
127052500,191
798947078,217
885259978,186
873669401,217
840078186,204
695154763,178
802621595,191
933156417,199
984372974,137
813996675,186
981049524,217
901735534,186
119182497,209
785290078,204
130072031,173
876262111,173
804017609,191
788169872,173
748491127,222
774843578,235
742854510,222
812779574,248
980602443,217
903015807,217
713784935,222
886222947,217
990785616,137
759969066,191
773862124,204
922219168,199
857042041,173
910219012,243
974508819,137
835087654,217
963892688,168
152359101,243
746598381,222
810945577,248
795131627,173
140017595,178
791390158,204
145783607,230
867250592,199
740328258,191
834593863,186
696730825,178
750912338,209
721322182,209
972460313,199
136840454,248
788742664,235
827589857,209
149288412,137
893862478,217
112614275,178
905915588,199
149067878,137
127478134,178
805935462,235
754156779,209
701211385,209
26464040,243
725171441,209
882478545,217
20780378,178
834310068,235
909422494,243
800200782,191
788073421,222
830985583,248
774754497,191
739718360,222
742181430,222
948223106,173
840114066,235
869052147,168
890818279,230
924612199,243
811074294,235
704502764,178
862035408,230
842543367,230
124947670,191
888319338,137
728666870,209
919785554,235
827866518,186
915812183,199
708206356,209
884524720,230
872965678,137
815104485,217
832198226,186
862648417,199
894769586,137
804308623,248
154896144,243
26246073,243
159173576,243
793918662,204
132572671,222
736539728,222
890022471,230
974671291,199
929701839,199
720429627,191
868114361,168
899115824,137
755970832,191
834729178,248
857530260,199
883240556,230
816565638,204
933199831,204
779567183,173
753322584,222
876538499,173
878083907,199
24877251,217
887393557,230
137257465,248
911142776,243
972421629,168
812297256,173
731700271,222
824195251,217
137427212,217
677308811,178
756584245,191
978483018,137
845986918,217
742973295,191
884142369,230
822151258,248
718145171,222
870738126,199
927934568,137
912511338,168
829451489,204
723301774,178
847156463,248
969439524,137
892390587,168
147964790,230
853854774,217
793501249,173
725215084,209
743985429,178
879990220,168
896513061,137
691862475,209
791062942,248
754432038,191
702122306,178
946677389,199
789900780,191
145095264,199
158478688,243
845861550,199
137172808,235
772233507,173
866514743,168
829949729,235
903589063,137
159245557,168
969855739,248
135765258,217
157315092,173
149892481,199
752335027,235
844347383,230
867811814,168
781068269,204
787191409,204
860583903,173
888165101,168
804121424,204
887245894,168
683713192,178
845677980,178
805683835,248
795356179,222
817490881,235
770284515,173
757242133,178
138981184,235
872245450,248
159413255,168
804955960,235
980405888,243
138987119,235
124166774,209
851008792,186
129573560,191
180148554,137
873275194,230
871274270,199
757923635,178
143301965,217
771500339,173
812917006,204
697910961,178
716754606,191
903185292,137
871536309,137
747161135,209
752210103,178
790579655,235
153295292,137
896232272,137
842546689,230
822987994,248
917856544,243
136502157,217
21847868,235
932695302,243
920773109,235
860140415,230
738639878,178
704093251,209
4320225,137
737769180,191
848086728,230
132005846,173
945881235,173
926164912,230
27070278,137
859540339,168
788995921,248
723277272,178
27262304,137
824342674,222
779346396,222
886551409,173
878527105,199
820672200,248
833129579,230
804176017,222
907150753,230
821952198,217
847568293,199
872443880,230
793233056,204
745689055,222
749164213,178
122087348,178
147389369,230
907101072,230
753463985,204
767045563,191
982074218,217
713429612,222
951317534,230
884694048,230
117772161,209
839872891,217
914462442,243
934105042,199
972291862,243
728857092,222
148956406,199
779004493,204
776540666,235
133962086,186
919410509,243
980492069,137
865218605,168
866801073,186
877792344,243
788753405,222
826359700,186
753848569,235
850400356,173
857959803,248
750194682,235
834141572,209
793711603,217
729132967,191
815308661,248
882199127,186
964708244,168
871248357,186
122926859,209
851734281,204
931403289,230
25884805,243
163423499,243
122936307,209
787609494,204
858537186,186
813097872,173
129323442,235
741298152,191
935772195,168
864350146,199
965473300,137
977209712,137
118667087,191
784135713,173
914620934,248
807830308,186
759167237,191
896053761,168
833145585,186
770324666,173
859673858,199
26209380,137
816751762,248
878069651,230
749158768,191
969380221,248
816060600,248
939631434,186
725951554,209
871274149,168
812147332,217
777176157,204
795614148,191
927036472,230
941340379,243
985028161,217
822421007,248
822136343,217
24414348,230
140218498,186
742335178,222
931973941,243
797916605,235
719269299,178
868167877,168
138658338,217
153683668,199
22240617,217
708338595,178
140551112,230
742503493,191
911777097,230
795788448,204
907406858,168
825560175,204
790619884,248
909079597,199
684592281,178
938599267,199
146491707,217
807433998,235
861824351,173
833678564,186
718312087,209
831796454,248
938682546,168
128957564,204
886036214,168
904151750,243
687431905,209
675473590,209
734208693,209
760738284,204
855004055,199
761421707,178
787743778,173
784555225,173
709155585,178
760289558,204
703211905,209
826083809,186
821246204,248
864922039,199
974486752,137
701401456,209
788130599,222
975623003,243
766952312,222
860705312,186
718294906,209
855883699,199
750821254,235
805451934,186
908023935,230
990262606,137
735807445,191
881845451,168
959381218,168
862723311,230
799911781,191
801066231,204
174872656,199
741233821,191
870564882,199
3874271,186
765272998,173
823978051,222
734462422,209
698583964,209
140631997,186
815172537,217
872953079,217
732617663,222
805202041,235
21805600,204
931314168,243
